City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
南平,21,9,20,0.67,17,35,28,6
南通,146,111,129,1.38,38,71,57,26
南阳,81,59,64,1.22,21,78,67,6
那曲地区,78,52,103,1.07,8,52,51,5
内江,32,22,26,1.02,20,18,20,12
宁波,63,44,56,0.91,46,34,20,12
宁德,25,17,23,0.97,27,19,23,8
怒江州,51,13,50,0.95,19,32,19,9
盘锦,56,30,60,0.93,39,51,20,52
攀枝花,86,49,119,3.84,69,27,12,100
蓬莱,61,11,69,1.4,15,61,41,14
平顶山,156,118,113,1.02,24,90,66,15
平度,195,146,282,1.9,55,41,14,29
平凉,58,40,59,0.9,17,60,46,19
萍乡,61,43,53,1.34,22,7,10,22
普洱,50,21,49,0.65,23,37,16,5
莆田,21,7,9,0.64,19,42,40,4
濮阳,127,96,105,1.3,34,63,46,20
黔东南州,50,18,49,1.1,21,6,7,18
黔南州,25,17,21,1.1,28,10,14,14
黔西南州,27,10,26,1.05,11,20,6,9
青岛,167,126,210,1.67,88,32,15,42
庆阳,75,54,67,1.0,18,56,53,22
清远,22,15,15,1.23,26,9,7,6
秦皇岛,48,25,47,1.06,43,43,18,29
钦州,44,18,43,1.5,18,10,6,14
齐齐哈尔,77,56,98,0.85,26,49,36,47
七台河,59,41,53,0.55,21,59,35,9
泉州,21,6,14,0.55,23,42,41,6
曲靖,40,28,31,0.6,11,65,32,9
衢州,77,56,72,0.67,33,20,23,8
日喀则,53,36,49,0.7,6,76,54,6
日喀则地区,29,6,27,0.35,2,68,56,5
日照,115,86,130,1.0,34,66,31,25
荣成,29,17,24,0.55,8,76,56,16
乳山,53,33,54,1.15,28,70,27,29
三门峡,91,67,75,1.0,18,71,60,15
三明,15,10,12,0.85,24,18,11,9
三沙,30,7,20,0.3,30,51,58,6
三亚,31,13,30,0.6,14,23,27,1
上海,87,64,61,1.06,42,57,28,14
商洛,30,17,26,0.7,18,69,59,40
商丘,161,122,157,1.5,46,57,60,15
上饶,37,24,36,1.05,28,19,16,16
山南,41,14,22,0.6,14,83,81,6
山南地区,40,5,21,0.45,6,65,79,4
汕头,22,10,11,0.88,24,41,43,7
汕尾,19,11,18,0.83,24,34,36,8
韶关,13,9,9,1.0,22,18,16,9
绍兴,99,74,140,1.12,45,44,25,13
邵阳,61,43,0,1.1,23,13,19,18
沈阳,80,58,87,1.16,54,33,17,60
深圳,29,20,28,0.82,25,34,22,5
石河子,143,109,186,2.9,64,10,6,11
石家庄,264,213,288,3.34,81,17,12,50
十堰,63,44,48,1.27,27,57,62,7
石嘴山,141,107,137,1.45,29,50,52,55
寿光,206,155,190,2.5,74,46,19,77
双鸭山,32,22,30,0.57,39,60,50,16
朔州,265,214,312,2.15,64,16,10,174
四平,91,67,93,0.63,24,62,29,15
松原,69,44,85,1.4,13,28,14,17
绥化,61,30,69,1.2,25,70,52,28
遂宁,38,26,25,1.05,18,16,12,5
随州,81,59,65,0.83,15,66,59,6
宿迁,161,122,129,1.43,45,72,26,30
苏州,88,65,96,0.86,56,48,28,16
宿州,202,151,168,1.57,62,68,58,30
塔城地区,35,12,34,0.5,9,55,46,3
泰安,96,71,94,1.7,39,59,20,46
太仓,114,85,110,1.0,51,48,26,19
太原,133,101,139,1.7,45,24,13,75
台州,65,46,62,1.0,38,25,25,6
泰州,209,158,204,1.5,44,74,57,29
唐山,70,37,88,2.4,65,31,17,48
天津,61,40,69,2.61,61,31,14,47
天水,43,30,36,1.03,23,60,56,25
铁岭,55,28,57,0.38,24,42,17,26
铜川,168,127,148,2.2,30,57,51,77
通化,188,141,177,2.2,60,21,12,132
通辽,26,13,25,0.57,12,61,44,14
铜陵,76,55,69,0.88,31,60,50,16
铜仁地区,31,9,30,1.2,17,35,44,9
吐鲁番地区,109,76,166,2.4,55,18,10,20
瓦房店,23,13,22,0.15,11,66,43,11
潍坊,192,144,235,1.96,61,45,18,81
威海,35,17,34,0.4,13,69,63,11
渭南,192,144,162,1.58,40,27,16,12
文登,44,20,43,1.15,22,65,24,16
文山州,20,7,18,0.65,15,47,38,11
温州,30,18,29,0.75,33,25,23,7
乌海,89,66,115,0.63,13,41,40,12
武汉,98,73,0,1.15,38,22,23,4
芜湖,153,116,0,1.55,48,50,44,19
吴江,88,65,90,1.07,49,53,26,14
五家渠,315,264,311,5.2,101,8,5,6
乌兰察布,103,76,118,2.05,66,24,18,64
乌鲁木齐,95,53,137,2.4,62,20,14,13
武威,91,63,129,0.85,17,55,49,29
无锡,138,105,145,1.66,50,53,33,19
吴忠,66,47,68,0.43,14,51,39,15
梧州,30,21,21,1.08,21,9,8,8
厦门,18,8,11,0.73,30,33,34,2
西安,167,126,134,1.85,42,35,33,20
湘潭,39,24,38,0.91,30,17,17,9
湘西州,26,18,21,0.5,21,30,41,2
襄阳,122,92,0,1.15,28,57,49,13
咸宁,72,52,0,1.4,29,20,17,2
咸阳,199,149,0,1.95,34,29,31,21
孝感,97,72,77,1.35,19,44,41,6
锡林郭勒盟,23,10,22,0.25,10,54,43,22
兴安盟,31,5,14,0.3,3,72,60,8
邢台,235,184,247,2.88,74,31,15,78
西宁,89,66,87,1.83,38,35,29,29
新乡,87,64,77,1.38,39,66,47,12
信阳,96,71,84,0.95,25,97,87,7
新余,38,23,37,1.04,29,7,6,21
忻州,317,266,310,2.43,60,10,8,117
西双版纳州,42,14,41,0.9,21,15,8,7
宣城,72,52,80,1.13,45,61,50,12
许昌,122,92,103,1.47,23,91,89,12
徐州,167,126,164,1.46,61,54,26,41
雅安,50,35,44,1.2,28,52,60,10
延安,97,72,80,1.7,35,56,52,43
延边州,52,23,51,0.77,11,93,78,13
盐城,182,137,189,1.34,47,55,44,25
阳江,26,18,25,1.3,37,9,4,5
阳泉,142,108,199,2.37,76,21,11,90
扬州,109,81,147,1.1,36,75,49,22
烟台,69,47,85,0.87,33,62,21,20
宜宾,36,25,29,1.23,33,32,23,14
宜昌,83,61,55,1.22,38,20,27,10
宜春,58,40,51,0.98,30,10,11,33
伊春,28,14,27,0.47,8,60,30,19
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,229,178,291,8.17,101,35,20,81
银川,121,91,119,1.49,27,67,59,44
营口,44,22,43,0.27,22,70,81,15
鹰潭,39,27,33,0.68,37,10,8,30
义乌,91,67,84,0.85,51,8,6,8
宜兴,89,66,81,1.75,34,56,33,19
益阳,52,33,52,1.5,18,33,28,6
永州,46,32,39,1.06,20,14,16,6
岳阳,75,54,71,1.22,16,26,18,5
玉林,24,9,23,1.4,12,9,4,6
榆林,207,156,184,3.0,64,23,10,63
运城,139,106,142,1.42,29,46,43,33
云浮,28,19,18,1.2,29,7,5,10
玉树州,56,39,54,0.6,16,77,74,39
玉溪,64,21,76,0.87,19,48,13,11
枣庄,128,97,164,1.32,47,60,28,50
张家港,141,107,186,1.4,41,56,46,20
张家界,26,17,24,0.9,19,40,51,4
张家口,39,13,38,0.68,20,63,60,17
章丘,109,81,130,1.3,34,57,22,43
张掖,83,44,114,0.65,19,39,38,26
漳州,28,16,27,0.73,33,29,18,5
湛江,19,13,15,0.95,28,30,25,6
肇庆,50,35,41,1.27,32,8,5,10
昭通,38,14,30,0.45,6,88,75,13
招远,111,42,170,1.75,31,45,14,23
郑州,142,108,105,1.0,42,61,34,13
镇江,132,100,143,0.93,38,72,53,20
中山,70,50,58,1.27,43,3,3,8
中卫,62,37,71,0.8,12,67,64,12
周口,158,120,154,1.2,26,77,83,13
舟山,32,16,30,0.67,11,65,63,7
珠海,60,42,49,1.05,47,27,28,5
诸暨,103,76,106,1.0,36,21,12,11
驻马店,137,104,117,0.97,29,93,85,9
株洲,44,24,43,0.98,30,8,9,13
淄博,124,93,146,2.42,56,53,18,72
自贡,58,39,63,1.15,29,31,26,19
资阳,50,29,49,1.04,18,21,15,7
遵义,24,11,23,1.0,20,18,22,11
